Column,Linear regression (p),,sqrt(correlation_coefficient^2),,
T2,0.8710398,1,0.871039802,2,
T2_FCC_ACR_AL,0.68734676,2,0.687346796,3,
T2_NbC_ACR_AL,0.571532,3,0.571532038,5,
T2_NbC_X_AL,0.5148628,4,0.51486275,9,
T2_NbC_CX_AL,0.5083348,5,0.508334789,13,
T2_NbC_X_MO,0.49434632,6,0.494346355,16,
T2_NbC_CX_MO,0.4819162,7,0.481916169,18,
T2_M3B2_D5A_X_NI,0.477323,8,0.47732307,19,
T2_LAVES_C14_X_AL,0.46131822,9,0.461318218,22,
T2_LAVES_C14_ACR_AL,0.45371562,10,0.453715604,27,
T2_NbC_CX_NI,0.45028582,11,0.45028589,28,
T2_NbC_X_NI,0.44202554,12,0.442025603,30,
T2_M3B2_D5A_X_W,0.41649884,13,0.416498903,38,
T2_FCC_CX_W,0.4136431,14,0.413643138,39,
T2_M3B2_D5A_CX_W,0.408337,15,0.408337059,40,
T2_FCC_X_W,0.39657253,16,0.396572528,41,
T2_M3B2_D5A_X_MO,0.38942426,17,0.389424312,43,
T2_M3B2_D5A_X_B,0.3885636,18,0.388563653,44,
T2_M3B2_D5A_X_FE,0.38800952,19,0.388009579,45,
T2_FCC_CX_MO,0.38338274,20,0.383382724,48,
dFCC,0.38161382,21,0.381613831,49,
T2_M3B2_D5A_X_CR,0.37276882,22,0.372768874,50,
T2_FCC_CX_NB,0.3677286,23,0.367728587,52,
T2_FCC_X_MO,0.36583307,24,0.365833043,53,
T2_FCC_X_NB,0.36326623,25,0.363266198,54,
T2_FCC_ACR_W,0.34218526,26,0.34218529,56,
T2_NbC_X_W,0.34204313,27,0.34204321,57,
T2_NbC_ACR_W,0.33860335,28,0.338603374,58,
T2_FCC_CX_NI,0.33344197,29,0.333442019,59,
T2_FCC_CX_CR,0.33320892,30,0.333208917,60,
T2_FCC_ACR_MO,0.32655466,31,0.326554664,61,
T2_NbC_ACR_MO,0.32655466,32,0.326554664,62,
T2_NbC_CX_W,0.3259003,33,0.32590031,64,
T2_M3B2_D5A_CX_NI,0.31605548,34,0.316055477,72,
T2_LAVES_C14_CX_AL,0.31064835,35,0.3106483,74,
T2_NbC_CX_FE,0.31030855,36,0.310308559,75,
T2_FCC_ACR_NB,0.30136973,37,0.301369652,80,
T2_NbC_X_FE,0.29745534,38,0.297455361,82,
T2_FCC_CX_AL,0.2954082,39,0.295408178,84,
T2_NIAL_ACR_B2_AL,0.29385045,40,0.293850501,86,
T2_FCC_ACR_NI,0.2912314,41,0.291231457,89,
T2_NP_FCC,0.28830293,42,0.288302947,90,
T2_FCC_CX_B,0.2877943,43,0.287794344,92,
T2_FCC_X_B,0.27903822,44,0.279038262,94,
T2_VPV_FCC,0.27828017,45,0.278280243,95,
T2_LAVES_C14_ACR_W,0.27403918,46,0.274039212,100,
T2_FCC_ACR_SI,0.27072027,47,0.270720325,104,
T2_M3B2_D5A_CX_FE,0.2642803,48,0.264280296,107,
T2_NP_M3B2_D5A,0.26233625,49,0.262336277,109,
T2_M3B2_D5A_CX_B,0.2620576,50,0.262057598,110,
T2_VPV_M3B2_D5A,0.2612162,51,0.261216204,111,
T2_L12_ACR_SI,0.26087743,52,0.260877403,112,
T2_M3B2_D5A_CX_CR,0.2584554,53,0.258455407,114,
T2_M3B2_D5A_CX_MO,0.25534493,54,0.255344942,118,
T2_NbC_CX_B,0.252593,55,0.252592996,120,
T2_NbC_ACR_SI,0.25011373,56,0.250113763,124,
T2_L12_ACR_NB,0.24886717,57,0.248867122,127,
T2_NbC_X_B,0.24801272,58,0.248012728,128,
dM3B2_D5A,0.24506302,59,0.245063006,133,
T2_L12_ACR_AL,0.23794985,60,0.237949811,135,
T2_FCC_X_NI,0.2290036,61,0.229003641,138,
T2_L12_X_B,0.22571562,62,0.225715624,139,
T2_LAVES_C14_X_CU,0.2239212,63,0.223921179,140,
T2_FCC_X_AL,0.22206832,64,0.222068312,141,
T2_LAVES_C14_ACR_MO,0.21974194,65,0.21974192,144,
xNI,0.21916892,66,0.219168925,145,
T1_FCC_X_NI,0.2162807,67,0.216280719,148,
T2_FCC_ACR_ZR,0.21273668,68,0.212736669,151,
T2_L12_ACR_ZR,0.21252912,69,0.212529086,152,
T1_FCC_CX_NI,0.2086973,70,0.208697347,153,
T2_FCC_CX_C,0.20724608,71,0.207246138,154,
T2_L12_X_CR,0.20520402,72,0.205204002,155,
T2_NbC_ACR_NB,0.20447998,73,0.204479902,156,
T1_FCC_ACR_NI,0.20322211,74,0.203222159,158,
T2_L12_X_ZR,0.20230567,75,0.202305658,159,
T2_FCC_CX_TI,0.20121948,76,0.201219448,160,
T2_LAVES_C14_ACR_SI,0.19979003,77,0.199790066,161,
T2_FCC_ACR_TI,0.19861126,78,0.198611201,162,
T2_L12_CX_ZR,0.1979041,79,0.197904083,163,
T2_L12_ACR_TI,0.19774778,80,0.197747729,164,
T2_FCC_X_TI,0.19731486,81,0.197314827,166,
T2_NbC_ACR_TI,0.19637124,82,0.196371239,167,
T2_L12_X_TI,0.195768,83,0.195767969,168,
T2_FCC_X_C,0.19551526,84,0.195515319,169,
xZR,0.19432005,85,0.194320056,170,
T2_L12_CX_CR,0.19360384,86,0.193603815,171,
T2_LAVES_C14_X_W,0.19268902,87,0.192689032,172,
T1_FCC_CX_TI,0.19261144,88,0.192611425,173,
T1_FCC_X_TI,0.19107115,89,0.191071131,176,
T2_FCC_X_ZR,0.19090886,90,0.190908875,177,
T1_FCC_X_ZR,0.18917419,91,0.189174202,179,
T2_L12_CX_TI,0.18824941,92,0.188249381,181,
T2_L12_X_FE,0.18809767,93,0.188097647,182,
T1_FCC_CX_ZR,0.18712501,94,0.187125028,185,
T2_L12_CX_FE,0.1863997,95,0.186399684,186,
T1_FCC_ACR_TI,0.18500388,96,0.185003857,187,
xTI,0.18461347,97,0.184613436,188,
T2_FCC_X_CR,0.18301032,98,0.183010308,189,
T2_LAVES_C14_X_NI,0.18119933,99,0.181199284,190,
T2_FCC_CX_ZR,0.18047702,100,0.180477054,191,
T2_L12_X_C,0.18028517,101,0.180285145,192,
T2_NbC_CX_CU,0.17775409,102,0.177754137,193,
T2_NbC_X_CU,0.1760237,103,0.176023765,195,
T2_VPV_L12,0.17331499,104,0.173314955,198,
dL12,0.17331222,105,0.173312197,199,
T2_NP_L12,0.17291006,106,0.172910031,200,
T2_L12_CX_NI,0.17054676,107,0.170546729,204,
T2_L12_CX_B,0.16807984,108,0.168079798,206,
T2_LAVES_C14_ACR_NB,0.1676354,109,0.167635313,207,
T2_L12_ACR_NI,0.16481598,110,0.164815967,210,
T2_L12_CX_AL,0.1646552,111,0.164655168,211,
T1_FCC_ACR_ZR,0.16461553,112,0.16461555,212,
T2_LAVES_C14_ACR_ZR,0.16205132,113,0.162051265,215,
T2_LAVES_C14_ACR_TI,0.1605264,114,0.160526337,217,
T2_L12_CX_NB,0.16006766,115,0.16006762,218,
T2_LAVES_C14_X_ZR,0.15116394,116,0.15116389,226,
T2_L12_ACR_CR,0.15099692,117,0.150996906,227,
T1_NbC_X_MO,0.14838217,118,0.148382218,229,
T2_L12_ACR_FE,0.1477161,119,0.147716093,230,
T2_LAVES_C14_X_TI,0.14706473,120,0.147064682,231,
T2_L12_X_NI,0.14705518,121,0.147055167,232,
T2_LAVES_C14_ACR_NI,0.14670962,122,0.146709588,233,
T2_LAVES_C14_X_MN,0.14560075,123,0.145600722,235,
T2_L12_X_NB,0.14223677,124,0.142236738,236,
T2_L12_X_AL,0.13930932,125,0.139309314,238,
T1_M3B2_D5A_X_W,0.13075143,126,0.130751474,247,
T2_M23C6_X_NI,0.1289201,127,0.128920158,248,
T1_NbC_X_W,0.1262549,128,0.126254944,253,
T2_L12_CX_SI,0.12586679,129,0.125866775,254,
T2_LAVES_C14_CX_NI,0.12211079,130,0.122110742,259,
T2_LAVES_C14_CX_ZR,0.11578616,131,0.115786118,262,
T2_LAVES_C14_CX_TI,0.11525952,132,0.115259472,263,
T2_LAVES_C14_CX_SI,0.11078588,133,0.110785829,265,
T2_NbC_X_SI,0.10841326,134,0.10841329,266,
T2_NbC_CX_SI,0.10736341,135,0.107363441,267,
T1_NbC_ACR_MO,0.10439118,136,0.104391167,268,
T2_L12_X_SI,0.1041702,137,0.1041702,269,
T1_NbC_X_AL,0.10288681,138,0.102886827,270,
T1_M3B2_D5A_CX_W,0.10217944,139,0.102179459,271,
T1_NbC_CX_MO,0.1010563,140,0.101056335,274,
T2_SIGMA_X_TI,0.099027574,141,0.099027558,279,
T1_FCC_ACR_SI,0.09898209,142,0.098982113,280,
T1_NbC_X_NI,0.095135815,143,0.09513588,283,
T2_L12_ACR_W,0.09426587,144,0.094265869,284,
T1_NbC_CX_W,0.09236885,145,0.092368893,287,
T2_L12_CX_C,0.09219195,146,0.092191911,288,
T1_NbC_X_FE,0.09111486,147,0.091114923,289,
T1_NbC_X_SI,0.09090001,148,0.090900038,290,
xAL,0.089737035,149,0.089737029,291,
T1_NbC_ACR_SI,0.08895606,150,0.088956072,292,
T2_FCC_CX_SI,0.087821186,151,0.08782122,294,
T1_FCC_X_AL,0.08538817,152,0.085388157,295,
T1_M3B2_D5A_X_FE,0.08473268,153,0.084732716,299,
T2_L12_X_W,0.083534464,154,0.08353447,300,
T1_NbC_CX_SI,0.083301,155,0.083301035,301,
T2_NbC_X_MN,0.08244709,156,0.08244711,302,
T1_M3B2_D5A_X_NI,0.08231455,157,0.082314597,303,
T1_M3B2_D5A_X_B,0.08226748,158,0.082267507,304,
xSI,0.08080194,159,0.080801969,305,
xMO,0.0802023,160,0.080202275,306,
T2_NbC_CX_MN,0.079113595,161,0.079113601,309,
T2_FCC_CX_Y,0.07886456,162,0.07886457,310,
T2_SIGMA_CX_TI,0.07861946,163,0.078619479,312,
T1_FCC_X_MO,0.07820649,164,0.078206462,314,
T1_M3B2_D5A_X_MO,0.07770535,165,0.077705388,317,
T1_FCC_CX_MO,0.07751206,166,0.077512032,318,
T1_M3B2_D5A_X_CR,0.07688934,167,0.076889374,320,
T2_M23C6_X_W,0.0762564,168,0.07625643,321,
T2_FCC_X_Y,0.07587258,169,0.075872589,322,
xW,0.07576303,170,0.075763021,323,
T1_FCC_X_SI,0.07373807,171,0.0737381,325,
T2_M23C6_CX_NI,0.07345198,172,0.07345205,326,
T1_FCC_CX_W,0.07332781,173,0.0733278,327,
T1_FCC_X_W,0.07326183,174,0.073261813,328,
T1_M3B2_D5A_CX_FE,0.072294705,175,0.072294738,330,
T1_NbC_ACR_W,0.07212553,176,0.072125511,331,
T1_FCC_CX_AL,0.071894236,177,0.07189422,332,
T1_FCC_CX_SI,0.07149553,178,0.071495566,334,
T1_M3B2_D5A_CX_NI,0.071058586,179,0.07105862,335,
T1_VPV_M3B2_D5A,0.07081294,180,0.070812962,336,
T1_NP_M3B2_D5A,0.07071947,181,0.070719496,337,
T1_M3B2_D5A_CX_B,0.07070511,182,0.07070513,338,
T1_FCC_ACR_MO,0.07010004,183,0.070100016,339,
T2_L12_ACR_V,0.06933708,184,0.069337073,340,
T1_FCC_X_NB,0.06921412,185,0.069214061,341,
T1_M3B2_D5A_CX_MO,0.067797944,186,0.067797968,343,
T2_FCC_X_SI,0.067711964,187,0.067712001,344,
T1_M3B2_D5A_CX_CR,0.06707325,188,0.067073275,345,
T2_M23C6_CX_W,0.0659172,189,0.065917248,348,
T1_FCC_ACR_CR,0.06465799,190,0.064657989,349,
T2_L12_CX_W,0.06415672,191,0.064156735,350,
T1_FCC_CX_NB,0.06331355,192,0.063313495,351,
T2_L12_X_Y,0.06208591,193,0.062085831,352,
T1_FCC_ACR_W,0.061321516,194,0.061321501,354,
T2_L12_ACR_Y,0.05911688,195,0.059116805,355,
xY,0.056297988,196,0.05629805,356,
T2_L12_X_MO,0.056251977,197,0.056251962,357,
T2_FCC_CX_FE,0.054373298,198,0.054373267,359,
T2_L12_ACR_MO,0.053797647,199,0.053797634,360,
T2_LAVES_C14_CX_MN,0.05370916,200,0.053709128,361,
dNbC,0.05337058,201,0.053370536,362,
T2_LAVES_C14_CX_CU,0.052738544,202,0.052738514,363,
T2_LAVES_C14_X_FE,0.052184813,203,0.052184747,364,
T2_LAVES_C14_CX_V,0.051289387,204,0.051289336,365,
xNB,0.051034756,205,0.051034688,367,
T1_M2B_CB_CX_MO,0.048834294,206,0.048834372,369,
T1_M2B_CB_X_MO,0.04594039,207,0.045940469,372,
T2_L12_ACR_MN,0.045782473,208,0.045782453,373,
T2_LAVES_C14_ACR_FE,0.04394995,209,0.043949887,375,
T1_M23C6_X_V,0.043679807,210,0.043679877,377,
T1_M23C6_X_W,0.04342107,211,0.043421144,378,
T1_FCC_X_Y,0.04325675,212,0.043256832,379,
T1_M23C6_X_MO,0.04325178,213,0.043251856,380,
T1_M23C6_X_CR,0.043169312,214,0.043169386,381,
T1_M23C6_X_C,0.04315677,215,0.043156847,382,
T1_M23C6_X_NI,0.043049462,216,0.043049538,383,
T1_M23C6_X_FE,0.043048576,217,0.043048653,384,
T1_FCC_CX_Y,0.043028783,218,0.043028869,385,
T1_M23C6_X_MN,0.043016974,219,0.043017048,386,
T1_NbC_CX_NI,0.042170454,220,0.042170497,387,
T1_M23C6_X_B,0.04186086,221,0.041860936,388,
T1_FCC_ACR_Y,0.039958805,222,0.039958893,389,
T1_M23C6_CX_V,0.039525673,223,0.039525751,390,
T1_M23C6_CX_W,0.038983293,224,0.038983371,392,
T2_LAVES_C14_X_SI,0.038701165,225,0.038701083,393,
T1_M23C6_CX_MO,0.038683638,226,0.038683716,394,
T1_M23C6_CX_CR,0.038558375,227,0.038558454,395,
T1_NP_M23C6,0.03855288,228,0.038552958,396,
T1_VPV_M23C6,0.03854529,229,0.038545365,397,
T1_M23C6_CX_C,0.038539253,230,0.03853933,398,
T1_M23C6_CX_FE,0.03837947,231,0.038379552,399,
T1_M23C6_CX_NI,0.03835882,232,0.038358899,400,
T1_M23C6_CX_MN,0.03832735,233,0.038327429,401,
T2_M23C6_CX_MO,0.037777036,234,0.037777088,402,
T2_LAVES_C14_CX_NB,0.037414785,235,0.0374147,403,
T2_M23C6_X_MO,0.03708193,236,0.037081958,404,
T1_M23C6_CX_B,0.037006386,237,0.037006463,405,
T2_L12_CX_V,0.0362977,238,0.036297705,406,
T2_NbC_CX_Y,0.036051296,239,0.036051314,407,
T2_NbC_X_Y,0.034200825,240,0.034200851,409,
T1_NbC_CX_Y,0.03373335,241,0.033733411,412,
T2_LAVES_C14_X_V,0.030782798,242,0.030782742,418,
T1_NbC_CX_AL,0.030606834,243,0.030606836,419,
T2_L12_X_V,0.030039677,244,0.030039684,420,
T1_NbC_ACR_Y,0.025079776,245,0.02507985,423,
T2_FECR_ACR_B2_AL,0.02506616,246,0.025066203,424,
T1_NbC_CX_FE,0.024626091,247,0.024626129,426,
T2_L12_CX_Y,0.024323447,248,0.024323379,427,
T1_NbC_X_Y,0.022110246,249,0.022110327,429,
T1_FCC_ACR_AL,0.019037243,250,0.019037225,433,
T2_NbC_CX_CR,0.018595446,251,0.018595509,434,
T2_L12_X_MN,0.015577711,252,0.015577693,438,
T2_M23C6_X_FE,0.014789838,253,0.014789916,440,
T2_FCC_ACR_Y,0.0138354,254,0.013835393,443,
Nb_C,0.010514223,255,0.010514227,446,
T1_NbC_X_CR,0.010234407,256,0.010234498,448,
T2_M23C6_CX_FE,0.008332344,257,0.008332436,452,
xB,0.008091495,258,0.008091485,453,
T2_NbC_X_CR,0.005786504,259,0.005786584,457,
T2_LAVES_C14_X_Y,0.002927759,260,0.002927823,459,
T2_L12_CX_MO,0.002013278,261,0.002013292,460,
T1_NbC_CX_CR,0.001801633,262,0.001801704,461,
T2_LAVES_C14_ACR_Y,0.000924611,263,0.000924642,462,
T2_NbC_ACR_Y,-0.000837712,264,0.00083774,463,
T1_FCC_ACR_NB,-0.004951622,265,0.004951714,458,
T2_LAVES_C14_CX_Y,-0.0068322,266,0.006832125,456,
T1_NbC_ACR_NI,-0.007451254,267,0.007451235,455,
T2_M23C6_X_B,-0.008011655,268,0.008011605,454,
T2_NbC_ACR_NI,-0.009209551,269,0.009209534,451,
T2_L12_CX_MN,-0.009268459,270,0.009268466,450,
T2_L12_X_CU,-0.009472272,271,0.009472275,449,
T1_FCC_X_CR,-0.010508664,272,0.010508629,447,
T2_LAVES_C14_CX_W,-0.011216993,273,0.011217025,445,
T2_VPV_M23C6,-0.012699539,274,0.012699456,444,
T2_NP_M23C6,-0.014290789,275,0.014290703,442,
T2_M23C6_CX_C,-0.014310354,276,0.014310269,441,
T1_NbC_ACR_AL,-0.01480386,277,0.014803886,439,
T2_NbC_ACR_ZR,-0.015626688,278,0.015626667,437,
T1_M2B_CB_CX_NI,-0.016349554,279,0.016349482,436,
dM23C6,-0.017194033,280,0.017193952,435,
xCR,-0.01938505,281,0.019384991,432,
T2_L12_CX_CU,-0.020570017,282,0.020570013,431,
T2_M23C6_CX_CR,-0.02159277,283,0.021592678,430,
T1,-0.023453023,284,0.023453016,428,
T2_L12_ACR_CU,-0.024883945,285,0.02488395,425,
T2_M23C6_CX_B,-0.025731776,286,0.025731697,422,
T2_LAVES_C14_ACR_CR,-0.02914835,287,0.029148414,421,
T1_FCC_X_B,-0.030990962,288,0.030990888,417,
T1_NbC_CX_V,-0.0320863,289,0.032086247,416,
T1_FCC_CX_B,-0.032155376,290,0.032155308,415,
T1_FCC_X_C,-0.032981206,291,0.032981117,414,
T1_M2B_CB_X_NI,-0.033289067,292,0.033289014,413,
T1_FCC_CX_C,-0.03381983,293,0.03381974,411,
T2_M23C6_X_C,-0.03408101,294,0.034080938,410,
T1_NbC_X_ZR,-0.035637278,295,0.035637259,408,
T2_LAVES_C14_ACR_V,-0.039166212,296,0.039166281,391,
T2_M23C6_X_CR,-0.043777294,297,0.043777223,376,
T1_NbC_X_V,-0.045196224,298,0.045196163,374,
T1_NbC_CX_ZR,-0.04774289,299,0.047742861,371,
T2_M23C6_CX_V,-0.04842546,300,0.048425376,370,
T2_FCC_ACR_V,-0.049909443,301,0.049909507,368,
T1_FCC_CX_CR,-0.051150583,302,0.05115054,366,
T2_NIAL_B2_X_CR,-0.055351175,303,0.055351136,358,
T2_NbC_ACR_V,-0.061837155,304,0.061837208,353,
T2_LAVES_C14_X_CR,-0.06612695,305,0.066126984,347,
T2_NbC_X_ZR,-0.06616465,306,0.06616462,346,
xC,-0.06892357,307,0.068923534,342,
T2_NbC_CX_ZR,-0.07162446,308,0.071624426,333,
T1_M2B_CB_CX_FE,-0.07297487,309,0.072974794,329,
T1_M2B_CB_CX_CR,-0.075236596,310,0.075236512,324,
T1_VPV_M2B_CB,-0.077234045,311,0.077233965,319,
T1_NP_M2B_CB,-0.07781041,312,0.077810324,316,
T1_M2B_CB_CX_B,-0.07787978,313,0.077879691,315,
T2_LAVES_C14_X_NB,-0.0785128,314,0.078512923,313,
T2_LAVES_C14_X_MO,-0.078706786,315,0.078706806,311,
T1_NbC_ACR_ZR,-0.079712495,316,0.079712456,308,
T2_LAVES_C14_CX_FE,-0.07982835,317,0.079828429,307,
T1_M2B_CB_X_FE,-0.0850697,318,0.085069633,298,
T1_NbC_ACR_NB,-0.085100755,319,0.08510084,297,
T1_M2B_CB_X_CR,-0.08537294,320,0.085372869,296,
T1_M2B_CB_X_B,-0.08802355,321,0.088023479,293,
T1_NbC_X_B,-0.09265842,322,0.092658449,286,
T2_NbC_CX_V,-0.093113504,323,0.093113491,285,
T2_FCC_CX_V,-0.09549371,324,0.095493779,282,
T2_NbC_X_V,-0.09595867,325,0.095958652,281,
T2_NP_LAVES_C14,-0.09986423,326,0.099864301,278,
T2_NbC_CX_NB,-0.09997901,327,0.099979053,277,
dLAVES_C14,-0.100920595,328,0.100920665,276,
T2_VPV_LAVES_C14,-0.1009375,329,0.100937563,275,
T1_NbC_X_NB,-0.10125195,330,0.101251965,273,
T2_M23C6_X_V,-0.10132643,331,0.101326376,272,
T2_FECR_B2_X_CR,-0.11120903,332,0.111208962,264,
T1_NbC_X_C,-0.118208975,333,0.118208988,261,
T1_NbC_CX_B,-0.12059614,334,0.120596172,260,
T2_M23C6_CX_MN,-0.12318917,335,0.123189091,258,
T2_NP_NbC,-0.12396785,336,0.123967875,257,
T1_NbC_CX_MN,-0.12415786,337,0.124157832,256,
T2_NbC_CX_C,-0.12444766,338,0.124447684,255,
T2_M23C6_X_MN,-0.12626648,339,0.126266444,252,
T2_FECR_ACR_B2_NI,-0.12633583,340,0.126335766,251,
T2_VPV_NbC,-0.12712853,341,0.127128567,250,
T1_NbC_X_MN,-0.12840813,342,0.128408096,249,
T1_M2B_CB_CX_MN,-0.1309322,343,0.130932123,246,
T1_NbC_ACR_FE,-0.13365854,344,0.133658561,245,
T2_FCC_X_V,-0.13569474,345,0.135694806,244,
T1_M2B_CB_X_MN,-0.13605666,346,0.13605659,243,
T1_NbC_ACR_TI,-0.13715617,347,0.137156221,242,
T2_NIAL_ACR_B2_NI,-0.13879682,348,0.138796787,241,
T1_NbC_ACR_CR,-0.1389002,349,0.138900214,240,
T1_NbC_X_CU,-0.13921875,350,0.139218661,239,
T1_NbC_CX_CU,-0.1399795,351,0.13997943,237,
T1_NbC_CX_NB,-0.14617176,352,0.146171784,234,
T2_FCC_CX_CU,-0.1488003,353,0.14880028,228,
T1_NbC_CX_C,-0.15176047,354,0.151760488,225,
T1_NP_NbC,-0.15358472,355,0.15358475,224,
T1_VPV_NbC,-0.15383063,356,0.153830669,223,
T1_FCC_ACR_FE,-0.15565953,357,0.155659546,222,
T1_FCC_X_FE,-0.1571927,358,0.157192732,221,
T1_NP_FCC,-0.15900403,359,0.159004049,220,
xV,-0.15961476,360,0.15961479,219,
T1_VPV_FCC,-0.16122626,361,0.161226258,216,
xFE,-0.1624537,362,0.162453735,214,
T2_M2B_CB_CX_NI,-0.16348329,363,0.163483286,213,
T1_FCC_X_V,-0.16523135,364,0.165231405,209,
T2_M2B_CB_X_NI,-0.167399,365,0.167398965,208,
T1_FCC_CX_V,-0.16869365,366,0.168693689,205,
T2_NbC_X_NB,-0.17103018,367,0.171030197,203,
T1_FCC_CX_FE,-0.1710481,368,0.171048147,202,
T2_SIGMA_CX_NI,-0.17116098,369,0.171160957,201,
T2_LAVES_C14_ACR_MN,-0.17416963,370,0.174169701,197,
T2_FCC_ACR_CR,-0.17496231,371,0.174962307,196,
T1_FCC_ACR_V,-0.17731567,372,0.177315699,194,
T2_FCC_X_CU,-0.18734139,373,0.187341388,184,
T1_NbC_ACR_V,-0.18786062,374,0.187860651,183,
T2_LAVES_C14_CX_CR,-0.18828046,375,0.188280507,180,
T2_NIAL_CX_CR,-0.19051574,376,0.190515705,178,
T2_FCC_ACR_MN,-0.19189234,377,0.191892367,175,
T2_NbC_ACR_MN,-0.19198902,378,0.191989062,174,
T2_FECR_CX_CR,-0.19733259,379,0.197332573,165,
T2_NIAL_B2_X_FE,-0.20379327,380,0.203793275,157,
T2_NbC_X_TI,-0.21395546,381,0.213955465,150,
T2_NbC_X_C,-0.21395575,382,0.213955753,149,
T2_LAVES_C14_CX_MO,-0.2176945,383,0.217694556,147,
T1_NbC_X_TI,-0.21776897,384,0.217768968,146,
T2_FECR_ACR_B2_CR,-0.21979964,385,0.219799579,143,
T2_FCC_CX_MN,-0.21981876,386,0.219818815,142,
T2_NIAL_CX_FE,-0.23507698,387,0.235076956,137,
T2_SIGMA_CX_SI,-0.23563823,388,0.235638236,136,
T1_NbC_ACR_MN,-0.24179415,389,0.24179419,134,
T1_NbC_ACR_CU,-0.2463828,390,0.246382799,132,
T2_FECR_ACR_B2_FE,-0.24705222,391,0.247052184,131,
T1_NbC_CX_TI,-0.24713016,392,0.247130162,130,
T1_FCC_ACR_MN,-0.2472926,393,0.247292627,129,
T2_FECR_B2_X_AL,-0.24905887,394,0.249058833,126,
T1_FCC_ACR_CU,-0.24918558,395,0.249185559,125,
T1_FCC_CX_CU,-0.251516,396,0.251516022,123,
T1_FCC_X_CU,-0.25151736,397,0.251517355,122,
xCU,-0.2516801,398,0.251680121,121,
T2_SIGMA_CX_CR,-0.25505406,399,0.255054076,119,
T1_FCC_X_MN,-0.25557297,400,0.255573029,117,
xMN,-0.2556891,401,0.25568913,116,
T1_FCC_CX_MN,-0.25589243,402,0.255892433,115,
T2_FECR_B2_X_NI,-0.25875703,403,0.258756992,113,
T2_LAVES_C14_ACR_CU,-0.26252005,404,0.262520118,108,
T2_FECR_B2_X_FE,-0.26514915,405,0.265149116,106,
T2_NbC_CX_TI,-0.26807594,406,0.268075964,105,
T2_FCC_X_MN,-0.27078748,407,0.27078752,103,
dSIGMA,-0.27374548,408,0.273745498,102,
T2_VPV_SIGMA,-0.27375984,409,0.273759863,101,
T2_NP_SIGMA,-0.2749384,410,0.27493842,99,
T2_NP_FECR_B2,-0.27711275,411,0.277112731,98,
dFECR_B2,-0.27722427,412,0.27722424,97,
T2_VPV_FECR_B2,-0.2772338,413,0.277233808,96,
T2_NbC_ACR_FE,-0.27950764,414,0.27950767,93,
T2_SIGMA_CX_FE,-0.2880289,415,0.288028918,91,
T2_NbC_ACR_CR,-0.29133144,416,0.291331463,88,
T2_FECR_CX_AL,-0.2927776,417,0.292777576,87,
T2_SIGMA_CX_AL,-0.29512617,418,0.295126195,85,
T2_FECR_CX_NI,-0.2970246,419,0.297024617,83,
T2_FECR_CX_FE,-0.29777485,420,0.297774825,81,
