Features,MIC (strength),sqrt(correlation_coefficient^2),Linear regression (p),MIC rank,Pearson Ranking
T2,0.775,0.871,0.871,1,2
Stress,0.735,0.898,-0.898,2,1
dT,0.570,0.682,-0.682,3,3
xMN,0.333,0.256,-0.256,4,4
xCU,0.320,0.252,-0.252,5,5
xNB,0.314,0.051,0.051,6,17
xY,0.296,0.056,0.056,7,16
xMO,0.293,0.080,0.080,8,13
Nb_C,0.286,0.011,0.011,9,20
xZR,0.283,0.194,0.194,10,7
xC,0.275,0.069,-0.069,11,15
xB,0.253,0.008,0.008,12,21
xSI,0.246,0.081,0.081,13,12
xW,0.241,0.076,0.076,14,14
xAL,0.233,0.090,0.090,15,11
xNI,0.229,0.219,0.219,16,6
xCR,0.216,0.019,-0.019,17,19
T1,0.209,0.023,-0.023,18,18
xV,0.204,0.160,-0.160,19,10
xFE,0.183,0.162,-0.162,20,9
xTI,0.182,0.185,0.185,21,8
