id,NAME,LMP,RT,Stress,T1,T2,dT,xAL,xB,xC,xCR,xCU,xFE,xMN,xMO,xNB,xNI,xSI,xTI,xV,xW,xY,xZR,Nb_C
1,FNC18,23227.92363,507.8,100,1200,750,450,4.74E-02,4.01E-03,3.79E-03,0.14953635,1.60E-12,0.55520773,1.42E-12,1.79E-02,1.98E-02,0.20217747,1.98E-04,7.60E-12,1.54E-12,3.23E-12,5.81E-12,4.23E-12,5.224
2,FNC19,22255.47985,56.9,100,1200,750,450,4.82E-02,1.03E-03,9.29E-05,0.15015448,1.48E-12,0.562779,1.42E-12,1.77E-02,1.88E-02,0.20120653,2.78E-12,2.12E-12,1.80E-12,3.96E-12,7.29E-12,2.10E-12,202.368
3,FNC19,22324.07795,66.4,100,1200,750,450,4.82E-02,1.03E-03,9.29E-05,0.15015448,1.48E-12,0.562779,1.42E-12,1.77E-02,1.88E-02,0.20120653,2.78E-12,2.12E-12,1.80E-12,3.96E-12,7.29E-12,2.10E-12,202.368
4,FNC19,21799.75166,20.4,100,1200,750,450,4.82E-02,1.03E-03,9.29E-05,0.15015448,1.48E-12,0.562779,1.42E-12,1.77E-02,1.88E-02,0.20120653,2.78E-12,2.12E-12,1.80E-12,3.96E-12,7.29E-12,2.10E-12,202.368
5,FNC31,23449.2044,835.6,100,1200,750,450,4.84E-02,7.22E-04,8.82E-04,0.15043371,1.52E-12,0.56031134,1.01E-04,1.80E-02,1.81E-02,0.20110098,2.78E-12,4.66E-12,2.08E-03,3.89E-12,7.71E-12,2.64E-12,20.522
6,FNC21,22713.42418,159.5,100,1200,750,450,5.10E-02,7.61E-04,1.78E-03,0.15089553,1.17E-12,0.58106646,1.14E-12,8.52E-03,6.61E-03,0.19917268,1.95E-04,6.33E-12,1.09E-12,1.11E-12,1.12E-12,3.14E-12,3.713
7,FNC22,22094.44218,39.6,100,1200,750,450,5.10E-02,1.02E-04,9.16E-05,0.15086589,1.08E-12,0.58151181,1.13E-12,8.77E-03,8.23E-03,0.19945686,1.16E-12,1.84E-12,1.11E-12,1.31E-12,2.18E-12,1.40E-12,89.847
8,FNC15,21918.75647,336.5,170,1200,700,500,9.66E-13,1.05E-04,4.72E-05,0.20052911,9.57E-13,0.47884186,1.04E-12,9.57E-13,1.92E-02,0.30127449,9.58E-13,2.17E-12,9.57E-13,9.57E-13,9.57E-13,1.24E-12,406.78
9,FNC15,22684.95502,149.6,100,1200,750,450,9.61E-13,1.05E-04,4.72E-05,0.20052911,9.58E-13,0.47884186,1.02E-12,9.58E-13,1.92E-02,0.30127449,9.58E-13,1.20E-12,9.58E-13,9.58E-13,9.58E-13,9.89E-13,406.78
10,FNC16,22871.58238,227.7,100,1200,750,450,4.91E-02,1.53E-03,9.19E-05,0.20078221,1.17E-12,0.42839405,1.09E-12,1.17E-12,2.00E-02,0.30010471,1.18E-12,2.05E-12,1.18E-12,1.18E-12,1.22E-12,1.46E-12,217.628
